iter	Passed	Remaining
878	2811	387
879	2814	383
880	2817	380
881	2820	377
882	2823	374
883	2827	371
884	2831	367
885	2834	364
886	2837	361
887	2840	358
888	2843	355
889	2846	351
890	2849	348
891	2852	345
892	2855	342
893	2859	339
894	2862	335
895	2865	332
896	2868	329
897	2871	326
898	2874	322
899	2877	319
900	2881	316
901	2884	313
902	2887	310
903	2890	306
904	2893	303
905	2896	300
906	2899	297
907	2902	294
908	2905	290
909	2909	287
910	2912	284
911	2915	281
912	2918	278
913	2921	274
914	2924	271
915	2927	268
916	2930	265
917	2933	262
918	2937	258
919	2940	255
920	2943	252
921	2946	249
922	2949	246
923	2953	242
924	2956	239
925	2959	236
926	2963	233
927	2966	230
928	2969	226
929	2972	223
930	2975	220
931	2978	217
932	2981	214
933	2985	210
934	2988	207
935	2991	204
936	2994	201
937	2997	198
938	3000	194
939	3003	191
940	3006	188
941	3009	185
942	3012	182
943	3015	178
944	3018	175
945	3021	172
946	3024	169
947	3027	166
948	3031	162
949	3034	159
950	3037	156
951	3040	153
952	3043	150
953	3047	146
954	3050	143
955	3053	140
956	3056	137
957	3059	134
958	3062	130
959	3065	127
960	3068	124
961	3071	121
962	3074	118
963	3077	114
964	3080	111
965	3083	108
966	3087	105
967	3091	102
968	3095	99
969	3098	95
970	3103	92
971	3106	89
972	3109	86
973	3112	83
974	3116	79
975	3119	76
976	3122	73
977	3126	70
978	3129	67
979	3133	63
980	3136	60
981	3140	57
982	3144	54
983	3147	51
984	3151	47
985	3154	44
986	3158	41
987	3162	38
988	3166	35
989	3169	32
990	3172	28
991	3176	25
992	3180	22
993	3183	19
994	3187	16
995	3190	12
996	3194	9
997	3198	6
998	3201	3
999	3205	0
