iter	Passed	Remaining
606	2420	1567
607	2424	1563
608	2428	1558
609	2431	1554
610	2435	1550
611	2439	1546
612	2443	1542
613	2447	1538
614	2450	1534
615	2454	1530
616	2458	1526
617	2462	1522
618	2466	1518
619	2470	1513
620	2473	1509
621	2477	1505
622	2481	1501
623	2485	1497
624	2489	1493
625	2492	1489
626	2496	1485
627	2500	1481
628	2504	1476
629	2507	1472
630	2511	1468
631	2514	1464
632	2518	1460
633	2521	1455
634	2525	1451
635	2529	1447
636	2533	1443
637	2537	1439
638	2541	1435
639	2544	1431
640	2548	1427
641	2552	1423
642	2555	1418
643	2559	1414
644	2562	1410
645	2566	1406
646	2570	1402
647	2574	1398
648	2577	1394
649	2581	1389
650	2585	1385
651	2588	1381
652	2592	1377
653	2595	1373
654	2599	1369
655	2603	1365
656	2606	1361
657	2610	1356
658	2614	1353
659	2619	1349
660	2623	1345
661	2627	1341
662	2630	1337
663	2634	1333
664	2638	1329
665	2641	1324
666	2645	1320
667	2649	1316
668	2653	1312
669	2656	1308
670	2661	1305
671	2665	1301
672	2669	1297
673	2673	1293
674	2677	1289
675	2680	1284
676	2684	1280
677	2688	1276
678	2691	1272
679	2695	1268
680	2699	1264
681	2703	1260
682	2706	1256
683	2710	1252
684	2714	1248
685	2718	1244
686	2721	1240
687	2725	1236
688	2729	1232
689	2733	1227
690	2736	1223
691	2740	1219
692	2744	1215
693	2748	1211
694	2751	1207
695	2755	1203
696	2759	1199
697	2763	1195
698	2766	1191
699	2770	1187
700	2774	1183
701	2778	1179
702	2782	1175
703	2786	1171
704	2789	1167
705	2794	1163
706	2797	1159
707	2801	1155
708	2805	1151
709	2808	1147
710	2812	1143
711	2815	1138
712	2819	1134
713	2823	1130
714	2826	1126
715	2830	1122
716	2833	1118
717	2838	1114
718	2841	1110
719	2845	1106
720	2848	1102
721	2852	1098
722	2856	1094
723	2860	1090
724	2863	1086
725	2867	1082
726	2871	1078
727	2874	1074
728	2878	1069
729	2881	1065
730	2885	1061
731	2889	1057
732	2892	1053
733	2896	1049
734	2900	1045
735	2904	1041
736	2908	1037
737	2911	1033
738	2915	1029
739	2918	1025
740	2922	1021
741	2926	1017
742	2930	1013
743	2933	1009
744	2937	1005
745	2941	1001
746	2944	997
747	2948	993
748	2952	989
749	2955	985
750	2959	981
751	2963	977
752	2967	973
753	2970	969
754	2974	965
755	2978	961
756	2981	957
757	2985	953
758	2989	949
759	2992	945
760	2996	941
761	3000	937
762	3004	933
763	3008	929
764	3011	925
765	3015	921
766	3019	917
767	3023	913
768	3026	909
769	3030	905
770	3034	901
771	3038	897
772	3042	893
773	3046	889
774	3050	885
775	3053	881
776	3057	877
777	3061	873
778	3065	869
779	3069	865
780	3072	861
781	3076	857
782	3080	853
783	3083	849
784	3087	845
785	3091	841
786	3095	837
787	3098	833
788	3102	829
789	3106	825
790	3110	821
791	3114	817
792	3118	814
793	3123	810
794	3126	806
795	3130	802
796	3134	798
797	3138	794
798	3142	790
799	3145	786
800	3149	782
801	3153	778
802	3157	774
803	3160	770
804	3164	766
805	3168	762
806	3172	758
807	3176	754
808	3180	750
809	3184	746
810	3187	742
811	3191	738
812	3195	734
813	3198	730
814	3202	726
815	3206	722
816	3209	718
817	3213	714
818	3217	711
819	3221	707
820	3224	703
821	3228	699
822	3232	695
823	3235	691
824	3239	687
825	3243	683
826	3246	679
827	3250	675
828	3254	671
829	3257	667
830	3261	663
831	3265	659
832	3269	655
833	3272	651
834	3276	647
835	3280	643
836	3284	639
837	3287	635
838	3291	631
839	3295	627
840	3298	623
841	3302	619
842	3305	615
843	3309	611
844	3313	607
845	3316	603
846	3320	599
847	3323	595
848	3327	591
849	3331	587
850	3335	583
851	3338	579
852	3342	576
853	3346	572
854	3349	568
855	3353	564
856	3357	560
857	3360	556
858	3364	552
859	3368	548
860	3371	544
861	3375	540
862	3379	536
863	3382	532
864	3386	528
865	3390	524
866	3393	520
867	3397	516
868	3401	512
869	3405	508
870	3409	504
871	3413	501
872	3417	497
873	3421	493
874	3424	489
875	3428	485
876	3432	481
877	3435	477
878	3439	473
879	3443	469
880	3447	465
881	3450	461
882	3454	457
883	3458	453
884	3461	449
885	3465	445
886	3469	441
887	3473	438
888	3476	434
889	3480	430
890	3484	426
891	3488	422
892	3491	418
893	3495	414
894	3499	410
895	3503	406
896	3507	402
897	3510	398
898	3514	394
899	3518	390
900	3522	386
901	3525	383
902	3529	379
903	3533	375
904	3537	371
905	3540	367
906	3544	363
907	3548	359
908	3552	355
909	3556	351
910	3559	347
911	3563	343
912	3567	339
913	3571	336
914	3575	332
915	3578	328
916	3582	324
917	3585	320
918	3589	316
919	3593	312
920	3597	308
921	3600	304
922	3604	300
923	3609	296
924	3613	292
925	3617	289
926	3620	285
927	3624	281
928	3628	277
929	3632	273
930	3636	269
931	3639	265
932	3643	261
933	3647	257
934	3650	253
935	3655	249
936	3658	246
937	3662	242
938	3665	238
939	3669	234
